candidate_id,rank,score,reasoning
CAND_0071974,1,0.9900,"Senior AI Engineer, 7.8 yrs, Vizag, Andhra Pradesh; career evidence: a/b test, pinecone, retrieval; skills: Qdrant, Embeddings, Sentence Transformers; open to work; high response rate (76%)."
CAND_0096142,2,0.9387,"Applied ML Engineer, 5.0 yrs, Hyderabad, Telangana; career evidence: a/b test, a/b testing, ranking; skills: Pinecone, NLP, Hugging Face Transformers; open to work; high response rate (84%)."
CAND_0011687,3,0.9182,"Senior NLP Engineer, 7.8 yrs, Indore, Madhya Pradesh; career evidence: a/b test, pinecone, retrieval; skills: Embeddings, Weaviate, OpenSearch; open to work; high response rate (89%)."
CAND_0036184,4,0.8924,"Recommendation Systems Engineer, 6.0 yrs, Trivandrum, Kerala; career evidence: semantic search, faiss, retrieval; skills: Semantic Search, Sentence Transformers, Embeddings; open to work; active this week."
CAND_0009024,5,0.8272,"Search Engineer, 5.2 yrs, Chennai, Tamil Nadu; career evidence: a/b test, a/b testing, ranking; skills: OpenSearch, Recommendation Systems, Qdrant; open to work."
CAND_0044222,6,0.8156,"AI Engineer, 7.7 yrs, Vizag, Andhra Pradesh; career evidence: a/b test, semantic search, faiss; skills: OpenSearch, Hugging Face Transformers, Qdrant; open to work."
CAND_0055905,7,0.7990,"Senior Machine Learning Engineer, 8.1 yrs, London; career evidence: ndcg, mrr, semantic search; skills: Embeddings, OpenSearch, Elasticsearch; open to work; high response rate (87%)."
CAND_0020708,8,0.7984,"Search Engineer, 4.2 yrs, Indore, Madhya Pradesh; career evidence: semantic search, faiss, retrieval; skills: Learning to Rank, Sentence Transformers, LLMs; open to work; high response rate (84%)."
CAND_0000031,9,0.7919,"Recommendation Systems Engineer, 6.0 yrs, Hyderabad, Telangana; career evidence: a/b test, ranking, shipped; skills: Embeddings, Pinecone, Sentence Transformers; open to work; active this week."
CAND_0006418,10,0.7593,"Machine Learning Engineer, 5.7 yrs, Gurgaon, Haryana; career evidence: a/b test, ranking, shipped; skills: Qdrant, Embeddings, Semantic Search; open to work; high response rate (92%)."
CAND_0046064,11,0.7556,"Senior NLP Engineer, 8.9 yrs, Coimbatore, Tamil Nadu; career evidence: ndcg, mrr, a/b test; skills: Pinecone, Elasticsearch, BM25; open to work; high response rate (78%)."
CAND_0037566,12,0.7488,"Machine Learning Engineer, 6.9 yrs, Bangalore, Karnataka; career evidence: pinecone, evaluation framework, embedding; skills: Pinecone, LLMs, Elasticsearch; open to work; immediately available."
CAND_0046525,13,0.7462,"Senior Machine Learning Engineer, 6.1 yrs, Pune, Maharashtra; career evidence: ndcg, mrr, a/b test; skills: Sentence Transformers, Qdrant, Information Retrieval; open to work; active this week."
CAND_0050876,14,0.7332,"Applied ML Engineer, 6.0 yrs, Kolkata, West Bengal; career evidence: a/b test, a/b testing, ranking; skills: Sentence Transformers, Qdrant, FAISS; open to work; active this week."
CAND_0069905,15,0.7168,"Applied ML Engineer, 6.6 yrs, Bhubaneswar, Odisha; career evidence: semantic search, faiss, pinecone; skills: Sentence Transformers, Learning to Rank, Weaviate; open to work; high response rate (78%)."
CAND_0041669,16,0.7154,"Recommendation Systems Engineer, 8.0 yrs, Noida, Uttar Pradesh; career evidence: a/b test, a/b testing, pinecone; skills: Milvus, Semantic Search, Information Retrieval; open to work; high response rate (77%)."
CAND_0039383,17,0.6765,"Applied ML Engineer, 7.1 yrs, Gurgaon, Haryana; career evidence: a/b test, semantic search, faiss; skills: FAISS, Vector Search, Elasticsearch; open to work."
CAND_0078002,18,0.6465,"Machine Learning Engineer, 6.3 yrs, Coimbatore, Tamil Nadu; career evidence: a/b test, a/b testing, ranking; skills: NLP, Hugging Face Transformers, Weaviate; open to work; high response rate (86%)."
CAND_0099806,19,0.6371,"AI Engineer, 4.6 yrs, Bhubaneswar, Odisha; career evidence: a/b test, ranking, shipped; skills: Qdrant, FAISS, Embeddings; open to work; high response rate (76%)."
CAND_0053591,20,0.6269,"AI Engineer, 5.3 yrs, Toronto; career evidence: a/b test, pinecone, evaluation framework; skills: Sentence Transformers, Qdrant, OpenSearch; open to work; high response rate (81%)."
CAND_0053695,21,0.6165,"Recommendation Systems Engineer, 5.8 yrs, Bhubaneswar, Odisha; career evidence: a/b test, semantic search, faiss; skills: Embeddings, Pinecone, Recommendation Systems; open to work; immediately available."
CAND_0052328,22,0.6149,"Recommendation Systems Engineer, 6.5 yrs, Pune, Maharashtra; career evidence: pinecone, evaluation framework, embedding; skills: Learning to Rank, Vector Search, Sentence Transformers; open to work; high response rate (79%)."
CAND_0017960,23,0.6087,"Recommendation Systems Engineer, 7.7 yrs, Bangalore, Karnataka; career evidence: a/b test, pinecone, evaluation framework; skills: Information Retrieval, Qdrant, Hugging Face Transformers; open to work."
CAND_0040887,24,0.6022,"Machine Learning Engineer, 4.7 yrs, Toronto; career evidence: semantic search, faiss, pinecone; skills: Recommendation Systems, Milvus, FAISS; open to work; active this week."
CAND_0055992,25,0.5990,"AI Engineer, 16.9 yrs, Sydney; career evidence: a/b test, a/b testing, pinecone; skills: Information Retrieval, FAISS, Milvus; open to work."
CAND_0062247,26,0.5882,"AI Engineer, 7.3 yrs, Kochi, Kerala; career evidence: semantic search, faiss, retrieval; skills: Vector Search, Qdrant, Hugging Face Transformers; open to work; high response rate (78%)."
CAND_0074225,27,0.5842,"Machine Learning Engineer, 4.3 yrs, Vizag, Andhra Pradesh; career evidence: a/b test, pinecone, evaluation framework; skills: Vector Search, Milvus, Elasticsearch; open to work; high response rate (91%)."
CAND_0077285,28,0.5785,"Recommendation Systems Engineer, 5.5 yrs, Ahmedabad, Gujarat; career evidence: a/b test, pinecone, evaluation framework; skills: Sentence Transformers, Information Retrieval, Embeddings; open to work."
CAND_0064326,29,0.5690,"Search Engineer, 7.6 yrs, Gurgaon, Haryana; career evidence: a/b test, pinecone, evaluation framework; skills: Weaviate, RAG, Semantic Search; open to work; high response rate (94%)."
CAND_0051292,30,0.5505,"Applied ML Engineer, 5.2 yrs, Trivandrum, Kerala; career evidence: semantic search, faiss, pinecone; skills: Vector Search, RAG, NLP; open to work."
CAND_0061339,31,0.5489,"Search Engineer, 4.2 yrs, Chandigarh, Chandigarh; career evidence: a/b test, a/b testing, ranking; skills: Vector Search, Information Retrieval, Milvus; open to work; high response rate (90%)."
CAND_0065195,32,0.5482,"Search Engineer, 5.1 yrs, Kolkata, West Bengal; career evidence: pinecone, evaluation framework, embedding; skills: Qdrant, LLMs, Elasticsearch; open to work; active this week."
CAND_0027691,33,0.5377,"NLP Engineer, 6.5 yrs, Pune, Maharashtra; career evidence: semantic search, faiss, retrieval; skills: Weaviate, Semantic Search, Recommendation Systems; open to work; immediately available."
CAND_0009691,34,0.5313,"Applied ML Engineer, 6.2 yrs, Indore, Madhya Pradesh; career evidence: a/b test, a/b testing, ranking; skills: Qdrant, Fine-tuning LLMs, FAISS; open to work; 120d notice."
CAND_0051004,35,0.5306,"Senior Data Scientist, 4.7 yrs, Delhi, Delhi; career evidence: pinecone, evaluation framework, embedding; skills: Qdrant, Semantic Search, Fine-tuning LLMs; open to work; immediately available."
CAND_0039838,36,0.5121,"Recommendation Systems Engineer, 4.9 yrs, Kochi, Kerala; career evidence: a/b test, ranking, production; skills: Vector Search, Milvus, RAG; open to work; high response rate (80%)."
CAND_0011162,37,0.4997,"Recommendation Systems Engineer, 5.8 yrs, Coimbatore, Tamil Nadu; career evidence: a/b test, ranking, shipped; skills: FAISS, Vector Search, Pinecone; open to work; high response rate (75%)."
CAND_0079284,38,0.4925,"Machine Learning Engineer, 4.9 yrs, Hyderabad, Telangana; career evidence: a/b test, a/b testing, ranking; skills: Qdrant, Recommendation Systems, NLP; high response rate (79%)."
CAND_0030031,39,0.4834,"AI Engineer, 5.7 yrs, Trivandrum, Kerala; career evidence: a/b test, a/b testing, ranking; skills: Vector Search, NLP, RAG; high response rate (94%)."
CAND_0054123,40,0.4750,"Applied ML Engineer, 4.7 yrs, Gurgaon, Haryana; career evidence: a/b test, a/b testing, semantic search; skills: Weaviate, Qdrant, LLMs; high response rate (87%)."
CAND_0058688,41,0.4739,"AI Engineer, 6.7 yrs, Berlin; career evidence: a/b test, a/b testing, ranking; skills: Information Retrieval, Embeddings, Milvus; open to work; immediately available."
CAND_0010770,42,0.4664,"Recommendation Systems Engineer, 15.2 yrs, Kolkata, West Bengal; career evidence: a/b test, semantic search, faiss; skills: Qdrant, Learning to Rank, pgvector; open to work."
CAND_0061655,43,0.4624,"Machine Learning Engineer, 4.6 yrs, Jaipur, Rajasthan; career evidence: a/b test, a/b testing, ranking; skills: Pinecone, Elasticsearch, OpenSearch; high response rate (88%); immediately available."
CAND_0083879,44,0.4615,"Machine Learning Engineer, 7.1 yrs, Noida, Uttar Pradesh; career evidence: a/b test, ranking, production; skills: Sentence Transformers, Hugging Face Transformers, Fine-tuning LLMs; open to work."
CAND_0066999,45,0.4264,"Recommendation Systems Engineer, 5.9 yrs, Delhi, Delhi; career evidence: ranking, production; skills: FAISS, Information Retrieval, BM25; open to work; immediately available."
CAND_0005538,46,0.4256,"Senior AI Engineer, 5.9 yrs, Kolkata, West Bengal; career evidence: a/b test, ranking, recommendation; skills: Information Retrieval Systems, Natural Language Processing, pgvector; open to work; high response rate (81%)."
CAND_0078042,47,0.4066,"Applied ML Engineer, 4.7 yrs, Dubai; career evidence: a/b test, ranking, shipped; skills: Pinecone, Sentence Transformers, Semantic Search; high response rate (91%)."
CAND_0064904,48,0.3980,"AI Engineer, 4.9 yrs, Hyderabad, Telangana; career evidence: a/b test, a/b testing, ranking; skills: Embeddings, LLMs, Elasticsearch; open to work; high response rate (78%)."
CAND_0030348,49,0.3970,"Machine Learning Engineer, 4.5 yrs, Noida, Uttar Pradesh; career evidence: a/b test, a/b testing, semantic search; skills: Vector Search, Embeddings, pgvector; open to work."
CAND_0052335,50,0.3940,"Applied ML Engineer, 6.4 yrs, Berlin; career evidence: pinecone, evaluation framework, ranking; skills: Sentence Transformers, Learning to Rank, NLP; open to work; high response rate (79%)."
CAND_0013613,51,0.3867,"Machine Learning Engineer, 4.7 yrs, Singapore; career evidence: a/b test, a/b testing, semantic search; skills: Weaviate, Sentence Transformers, Fine-tuning LLMs; open to work."
CAND_0079064,52,0.3844,"Senior Data Scientist, 5.2 yrs, Noida, Uttar Pradesh; career evidence: semantic search, faiss, pinecone; skills: Semantic Search, Pinecone, OpenSearch; open to work; high response rate (91%)."
CAND_0054394,53,0.3809,"Recommendation Systems Engineer, 4.1 yrs, Pune, Maharashtra; career evidence: semantic search, faiss, retrieval; skills: Embeddings, Fine-tuning LLMs, Pinecone; open to work."
CAND_0076251,54,0.3666,"Search Engineer, 7.6 yrs, Bhubaneswar, Odisha; career evidence: semantic search, faiss, retrieval; skills: Hugging Face Transformers, Learning to Rank, Semantic Search; open to work."
CAND_0010685,55,0.3655,"NLP Engineer, 6.7 yrs, Kolkata, West Bengal; career evidence: a/b test, semantic search, faiss; skills: Information Retrieval, RAG, Elasticsearch; open to work; high response rate (83%)."
CAND_0057701,56,0.3631,"Recommendation Systems Engineer, 4.1 yrs, Chandigarh, Chandigarh; career evidence: a/b test, ranking, shipped; skills: Learning to Rank, OpenSearch, Milvus; open to work; 120d notice."
CAND_0076163,57,0.3598,"NLP Engineer, 6.9 yrs, Chandigarh, Chandigarh; career evidence: ranking; skills: Semantic Search, Sentence Transformers, Elasticsearch; open to work; high response rate (84%)."
CAND_0049896,58,0.3516,"Search Engineer, 7.3 yrs, Vizag, Andhra Pradesh; career evidence: a/b test, a/b testing, pinecone; skills: Information Retrieval, Fine-tuning LLMs, Vector Search; open to work."
CAND_0010257,59,0.3496,"Senior Data Scientist, 6.5 yrs, Noida, Uttar Pradesh; career evidence: a/b test, a/b testing, ranking; skills: Milvus, Recommendation Systems, Qdrant; open to work; 120d notice."
CAND_0014440,60,0.3410,"Recommendation Systems Engineer, 6.4 yrs, Chennai, Tamil Nadu; career evidence: ranking, production; skills: FAISS, Qdrant, Milvus; open to work."
CAND_0041610,61,0.3368,"Recommendation Systems Engineer, 6.7 yrs, Indore, Madhya Pradesh; career evidence: pinecone, evaluation framework, ranking; skills: Learning to Rank, Recommendation Systems, OpenSearch; open to work."
CAND_0018722,62,0.3220,"Recommendation Systems Engineer, 6.6 yrs, Toronto; career evidence: semantic search, faiss, retrieval; skills: Hugging Face Transformers, Weaviate, PEFT; open to work; high response rate (79%)."
CAND_0093912,63,0.3194,"Senior Data Scientist, 5.3 yrs, Chandigarh, Chandigarh; career evidence: semantic search, faiss, ranking; skills: Milvus, Vector Search, Elasticsearch; open to work."
CAND_0007412,64,0.3193,"Applied ML Engineer, 7.4 yrs, Noida, Uttar Pradesh; career evidence: a/b test, pinecone, evaluation framework; skills: Pinecone, BM25, Milvus; open to work; high response rate (76%)."
CAND_0060054,65,0.3171,"AI Engineer, 6.4 yrs, Jaipur, Rajasthan; career evidence: a/b test, a/b testing, semantic search; skills: Semantic Search, Recommendation Systems, FAISS; high response rate (86%); immediately available."
CAND_0042100,66,0.3171,"Machine Learning Engineer, 7.3 yrs, Singapore; career evidence: a/b test, ranking, shipped; skills: Learning to Rank, Pinecone, LLMs; open to work; high response rate (87%)."
CAND_0028793,67,0.3081,"Search Engineer, 7.2 yrs, Trivandrum, Kerala; career evidence: a/b test, semantic search, faiss; skills: Embeddings, Information Retrieval, Learning to Rank; open to work; 120d notice."
CAND_0081852,68,0.3014,"Senior Data Scientist, 5.9 yrs, Delhi, Delhi; career evidence: pinecone, evaluation framework, embedding; skills: Vector Search, Milvus, Semantic Search; open to work; active this week."
CAND_0076831,69,0.2861,"Search Engineer, 4.0 yrs, Delhi, Delhi; career evidence: a/b test, ranking, production; skills: Milvus, NLP, Fine-tuning LLMs; open to work."
CAND_0092245,70,0.2829,"Senior Data Scientist, 4.1 yrs, Coimbatore, Tamil Nadu; career evidence: a/b test, ranking, shipped; skills: Vector Search, Qdrant, Hugging Face Transformers; open to work."
CAND_0098846,71,0.2819,"AI Engineer, 7.6 yrs, Indore, Madhya Pradesh; career evidence: pinecone, evaluation framework, ranking; skills: Qdrant, Recommendation Systems, Hugging Face Transformers; open to work."
CAND_0095619,72,0.2735,"NLP Engineer, 15.6 yrs, Mumbai, Maharashtra; career evidence: ranking; skills: Pinecone, Weaviate, Learning to Rank; open to work; high response rate (90%)."
CAND_0061257,73,0.2689,"Staff Machine Learning Engineer, 8.0 yrs, Noida, Uttar Pradesh; career evidence: evaluation framework, ranking, production; skills: Information Retrieval Systems, Python, Machine Learning; open to work; high response rate (87%)."
CAND_0093547,74,0.2552,"Senior Machine Learning Engineer, 2.9 yrs, Coimbatore, Tamil Nadu; career evidence: a/b test, pinecone, retrieval; skills: Information Retrieval, Weaviate, Milvus; high response rate (75%)."
CAND_0036437,75,0.2537,"Search Engineer, 4.8 yrs, Kolkata, West Bengal; career evidence: ranking, production; skills: Vector Search, Weaviate, OpenSearch; high response rate (87%)."
CAND_0008239,76,0.2376,"AI Engineer, 4.0 yrs, Jaipur, Rajasthan; career evidence: ranking; skills: Milvus, Vector Search, FAISS; open to work; immediately available."
CAND_0025640,77,0.2365,"AI Research Engineer, 5.6 yrs, Jaipur, Rajasthan; career evidence: ranking, recommendation, production; skills: Semantic Search, FAISS, Elasticsearch; open to work; high response rate (87%)."
CAND_0092255,78,0.2293,"ML Engineer, 5.2 yrs, Noida, Uttar Pradesh; career evidence: ranking, recommendation, production; skills: Weaviate, Vector Search, Learning to Rank; open to work."
CAND_0005260,79,0.2226,"Senior NLP Engineer, 5.2 yrs, Chennai, Tamil Nadu; career evidence: ndcg, mrr, faiss; skills: Semantic Search, Embeddings, NLP; high response rate (86%)."
CAND_0004402,80,0.2203,"AI Research Engineer, 6.0 yrs, Delhi, Delhi; career evidence: ranking, recommendation, production; skills: Learning to Rank, PEFT, PyTorch; open to work; active this week."
CAND_0033445,81,0.2085,"ML Engineer, 6.8 yrs, Ahmedabad, Gujarat; career evidence: llm, fine-tune, fine-tuning; skills: Semantic Search, Information Retrieval, BM25; open to work; active this week."
CAND_0075439,82,0.2057,"Machine Learning Engineer, 4.3 yrs, Vizag, Andhra Pradesh; career evidence: a/b test, a/b testing, pinecone; skills: Vector Search, Learning to Rank, Embeddings."
CAND_0073007,83,0.1992,"AI Specialist, 5.8 yrs, Bangalore, Karnataka; career evidence: ranking, recommendation, production; skills: Embeddings, FAISS, pgvector; open to work; high response rate (83%)."
CAND_0020350,84,0.1926,"AI Engineer, 5.8 yrs, Jaipur, Rajasthan; career evidence: production; skills: Sentence Transformers, NLP, LLMs; open to work."
CAND_0029671,85,0.1810,"Data Scientist, 5.7 yrs, Toronto; career evidence: production, llm, fine-tune; skills: Qdrant, Embeddings, Sentence Transformers; open to work; active this week."
CAND_0002120,86,0.1801,"ML Engineer, 6.5 yrs, Berlin; career evidence: ranking, recommendation, fine-tuning; skills: Pinecone, Information Retrieval, RAG; open to work."
CAND_0051615,87,0.1735,"Search Engineer, 4.6 yrs, Coimbatore, Tamil Nadu; career evidence: ranking; skills: Sentence Transformers, Fine-tuning LLMs, RAG; open to work; high response rate (88%)."
CAND_0016659,88,0.1624,"ML Engineer, 4.4 yrs, Coimbatore, Tamil Nadu; career evidence: ranking, recommendation, fine-tuning; skills: Weaviate, Information Retrieval, Pinecone; open to work; high response rate (89%)."
CAND_0026532,89,0.1518,"Recommendation Systems Engineer, 4.8 yrs, Chennai, Tamil Nadu; career evidence: a/b test, a/b testing, semantic search; skills: Embeddings, Milvus, Semantic Search; open to work."
CAND_0043228,90,0.1456,"Applied ML Engineer, 6.8 yrs, Chennai, Tamil Nadu; career evidence: semantic search, faiss, ranking; skills: Sentence Transformers, OpenSearch, Hugging Face Transformers."
CAND_0098780,91,0.1239,"AI Research Engineer, 5.9 yrs, Bangalore, Karnataka; career evidence: llm, fine-tune; skills: Weaviate, Semantic Search, Pinecone; open to work."
CAND_0027801,92,0.1218,"NLP Engineer, 7.4 yrs, Hyderabad, Telangana; career evidence: semantic search, faiss, retrieval; skills: Milvus, Learning to Rank, FAISS; open to work; 120d notice."
CAND_0082086,93,0.1122,"Senior Software Engineer (ML), 6.0 yrs, Delhi, Delhi; career evidence: llm, fine-tune, fine-tuning; skills: FAISS, Pinecone, PyTorch; open to work; high response rate (85%)."
CAND_0033179,94,0.1112,"AI Research Engineer, 6.9 yrs, Ahmedabad, Gujarat; career evidence: ranking, recommendation, production; skills: Information Retrieval, OpenSearch, Fine-tuning LLMs; open to work; high response rate (84%)."
CAND_0011432,95,0.1105,"Senior Data Scientist, 7.6 yrs, Chennai, Tamil Nadu; career evidence: a/b test, pinecone, evaluation framework; skills: OpenSearch, Elasticsearch, pgvector; open to work."
CAND_0015578,96,0.1064,"AI Engineer, 5.4 yrs, Delhi, Delhi; career evidence: pinecone, evaluation framework, embedding; skills: Pinecone, FAISS, Embeddings; open to work."
CAND_0073982,97,0.1039,"Data Scientist, 7.0 yrs, Delhi, Delhi; career evidence: production, fine-tuning; skills: Sentence Transformers, FAISS, Elasticsearch; open to work."
CAND_0010149,98,0.1036,"ML Engineer, 6.9 yrs, Bangalore, Karnataka; career evidence: ranking, recommendation, llm; skills: Vector Search, Milvus, Learning to Rank; open to work; active this week."
CAND_0041402,99,0.1024,"AI Specialist, 6.3 yrs, Vizag, Andhra Pradesh; career evidence: ranking, recommendation, production; skills: Information Retrieval, LLMs, scikit-learn; open to work."
CAND_0072688,100,0.1000,"Data Scientist, 6.9 yrs, Pune, Maharashtra; career evidence: fine-tuning, llm, fine-tune; skills: Qdrant, Recommendation Systems, Semantic Search; open to work; active this week."
